id,name,color,workspace_id,created_at
715428b6-a295-4764-a240-1d316647d42e,concepts,#9900ef,5abbb1c1-a9ee-435c-9d33-6d75125d85d4,2026-02-09 13:23:38.534051+07
244ed3e4-2ba0-4917-b8d0-0428f8c6bae7,PDAM,#0693e3,39481af8-0004-4ff0-9be3-9e4b27d81187,2026-02-13 11:29:19.618793+07
bcb1bc30-b026-4a90-b0ba-4a5cf015d8a5,admin,#0693e3,2eba5209-bc34-4edf-9e83-9b61885c1558,2026-02-16 14:32:08.943673+07
f2d72750-2631-43c9-b6b8-df8def166ff9,concepts,#9900ef,2eba5209-bc34-4edf-9e83-9b61885c1558,2026-02-16 14:32:09.003937+07
f6c9587f-831d-4879-842d-cc6afd7b033e,other,#F78DA7,39481af8-0004-4ff0-9be3-9e4b27d81187,2026-02-06 15:34:37.816622+07
09a2874e-f5ab-4d5f-9c5c-0fd920e0c90f,New WeatherApp,#FF6900,39481af8-0004-4ff0-9be3-9e4b27d81187,2026-01-22 10:12:14.257716+07
e27d3996-41bd-4ff2-b9fa-d3352384135f,FOEWS,#FCB900,39481af8-0004-4ff0-9be3-9e4b27d81187,2026-02-19 11:15:00.404431+07
789b8e4a-331f-4872-bebc-7e704eeebe98,admin,#0693e3,589252ad-2801-47b7-a365-a9c984c054bb,2026-05-11 21:24:10.031008+07
1f481969-c20f-41d2-9884-395240657286,concepts,#9900ef,589252ad-2801-47b7-a365-a9c984c054bb,2026-05-11 21:24:10.084769+07
6f235aa3-48af-43d9-ab89-f8da1f5f7365,logger_dash,#F78DA7,39481af8-0004-4ff0-9be3-9e4b27d81187,2026-06-23 11:06:57.429795+07
7fe33ab5-30bc-4f28-8f46-29c9246ef29b,mqtt_backup,#7BDCB5,39481af8-0004-4ff0-9be3-9e4b27d81187,2026-06-23 11:07:02.938902+07
